"project";"AuthorTime";"CommitterTime";"AuthorTimeUnixEpochMilliSecs";"CommitterTimeUnixEpochMilliSecs";"MinutesSincePreviousCommit";"AuthorNominalLabel";"CommitterNominalLabel";"IsInitialCommit";"IsMergeCommit";"NumberOfParentCommits";"ParentCommitSHA1s";"NumberOfFilesAdded";"NumberOfFilesAddedNet";"NumberOfLinesAddedByAddedFiles";"NumberOfLinesAddedByAddedFilesNet";"NumberOfFilesDeleted";"NumberOfFilesDeletedNet";"NumberOfLinesDeletedByDeletedFiles";"NumberOfLinesDeletedByDeletedFilesNet";"NumberOfFilesModified";"NumberOfFilesModifiedNet";"NumberOfFilesRenamed";"NumberOfFilesRenamedNet";"NumberOfLinesAddedByModifiedFiles";"NumberOfLinesAddedByModifiedFilesNet";"NumberOfLinesDeletedByModifiedFiles";"NumberOfLinesDeletedByModifiedFilesNet";"NumberOfLinesAddedByRenamedFiles";"NumberOfLinesAddedByRenamedFilesNet";"NumberOfLinesDeletedByRenamedFiles";"NumberOfLinesDeletedByRenamedFilesNet";"Density";"AffectedFilesRatioNet";"KW_add";"KW_allow";"KW_bug";"KW_chang";"KW_error";"KW_fail";"KW_fix";"KW_implement";"KW_improv";"KW_issu";"KW_method";"KW_new";"KW_npe";"KW_refactor";"KW_remov";"KW_report";"KW_set";"KW_support";"KW_test";"KW_use";"label";"prob_a";"prob_c";"prob_p"
"project_1";"2020-03-11 12:03:21";"2020-03-11 12:03:21";1583929281000;1583929281000;17558.4833;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"eff0e3a55bd8d16145c29ff612bd363ec5a47a4e";30;26;13808;13631;0;0;0;0;1;1;0;0;7;7;0;0;0;0;0;0;0.98719;0.87097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;"p";0.292903330192264;0.00249272370731101;0.704603946100425
"project_1";"2020-03-15 08:03:03";"2020-03-15 08:03:03";1584262023000;1584262023000;5545.7;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"64f28c6d193cef4267583b60c3beec2955e6eb60";1;1;12;11;0;0;0;0;1;1;0;0;7;6;0;0;0;0;0;0;0.89474;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"c";0.00449679122815307;0.993695378497454;0.00180783027439288
"project_1";"2020-03-17 20:03:12";"2020-03-17 20:03:12";1584476772000;1584476772000;3579.15;"Lacf3adccfbc4c6f";"Lacf3adccfbc4c6f";0;0;1;"f2c7d442995c1e678edc469d0123aa3de319e560";7;6;168;127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.75595;0.85714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;"p";0.0780549685604472;0.000915800568281481;0.921029230871271
"project_1";"2020-03-18 10:03:05";"2020-03-18 10:03:05";1584526625000;1584526625000;830.8833;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"4b0fcb8bbd9874c49a5644460d98e72837161253";6;6;98;75;0;0;0;0;8;8;0;0;63;59;13;13;0;0;0;0;0.84483;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;"p";0.167653393630696;0.0442540755982121;0.788092530771092
"project_1";"2020-03-18 11:03:55";"2020-03-18 11:03:55";1584529495000;1584529495000;47.8333;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"f3d8e7de7e85832194152328b9ceb0aa270a879f";1;1;4;4;0;0;0;0;2;2;0;0;10;9;0;0;0;0;0;0;0.92857;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"c";0.00266966405945481;0.995784813803051;0.00154552213749415
"project_1";"2020-03-18 15:03:43";"2020-03-18 15:03:43";1584544303000;1584544303000;246.8;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"f86130aaeaa441ca77762fafe1ecf57badb39c68";1;1;18;16;0;0;0;0;2;2;0;0;14;12;2;2;0;0;0;0;0.88235;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"c";0.00337376096157006;0.994720965583953;0.00190527345447704
"project_1";"2020-03-19 21:03:06";"2020-03-19 21:03:06";1584651906000;1584651906000;1793.3833;"L32219b7760f694d";"L32219b7760f694d";0;0;1;"26d50cc109b01cac82c5dca56debf75dec524bd7";0;0;0;0;0;0;0;0;3;2;0;0;25;20;11;10;0;0;0;0;0.83333;0.66667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"p";0.00229443633054177;0.00411415759433373;0.993591406075125
"project_1";"2020-03-19 21:03:34";"2020-03-19 21:03:34";1584653734000;1584653734000;30.4667;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"efc2257b1d873da83b898fdcd18555bc975f1cf8";0;0;0;0;0;0;0;0;2;2;0;0;10;9;2;2;0;0;0;0;0.91667;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"c";0.00157693229976675;0.996501783733571;0.00192128396666239
"project_1";"2020-03-22 21:03:01";"2020-03-22 21:03:01";1584912481000;1584912481000;4312.45;"Lacf3adccfbc4c6f";"Lacf3adccfbc4c6f";0;0;1;"2c424c7d2993786570931ea79e2895bac065938b";9;9;9530;9475;0;0;0;0;3;3;0;0;49;40;3;3;0;0;0;0;0.99332;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.986230271382646;0.00399176230835092;0.0097779663090034
"project_1";"2020-03-23 12:03:55";"2020-03-23 12:03:55";1584967675000;1584967675000;919.9;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"6c053ac113bd889079f8b52f74a59dd896ed933c";2;2;34;26;0;0;0;0;6;6;0;0;51;46;18;18;0;0;0;0;0.87379;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.655404721480272;0.298389563731722;0.0462057147880066
