"project";"AuthorTime";"CommitterTime";"AuthorTimeUnixEpochMilliSecs";"CommitterTimeUnixEpochMilliSecs";"MinutesSincePreviousCommit";"AuthorNominalLabel";"CommitterNominalLabel";"IsInitialCommit";"IsMergeCommit";"NumberOfParentCommits";"ParentCommitSHA1s";"NumberOfFilesAdded";"NumberOfFilesAddedNet";"NumberOfLinesAddedByAddedFiles";"NumberOfLinesAddedByAddedFilesNet";"NumberOfFilesDeleted";"NumberOfFilesDeletedNet";"NumberOfLinesDeletedByDeletedFiles";"NumberOfLinesDeletedByDeletedFilesNet";"NumberOfFilesModified";"NumberOfFilesModifiedNet";"NumberOfFilesRenamed";"NumberOfFilesRenamedNet";"NumberOfLinesAddedByModifiedFiles";"NumberOfLinesAddedByModifiedFilesNet";"NumberOfLinesDeletedByModifiedFiles";"NumberOfLinesDeletedByModifiedFilesNet";"NumberOfLinesAddedByRenamedFiles";"NumberOfLinesAddedByRenamedFilesNet";"NumberOfLinesDeletedByRenamedFiles";"NumberOfLinesDeletedByRenamedFilesNet";"Density";"AffectedFilesRatioNet";"KW_add";"KW_allow";"KW_bug";"KW_chang";"KW_error";"KW_fail";"KW_fix";"KW_implement";"KW_improv";"KW_issu";"KW_method";"KW_new";"KW_npe";"KW_refactor";"KW_remov";"KW_report";"KW_set";"KW_support";"KW_test";"KW_use";"label";"prob_a";"prob_c";"prob_p"
"project_10";"2021-03-06 19:03:52";"2021-03-06 19:03:52";1615059412000;1615059412000;-0.1;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";1;0;0;"";31;25;35319;34770;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.98446;0.80645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.982178042565409;0.00363017400672003;0.014191783427871
"project_10";"2021-03-06 19:03:47";"2021-03-06 19:03:47";1615060367000;1615060367000;15.9167;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"3bb62c239d013eb369dc2b0a9aa1b3f2066c8bef";0;0;0;0;1;1;35;31;2;2;0;0;70;70;0;0;0;0;0;0;0.9619;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.996680914079463;0.00194020396242038;0.00137888195811618
"project_10";"2021-03-06 20:03:42";"2021-03-06 20:03:42";1615061742000;1615061742000;22.9167;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"264049cf9dc7cf1a01eac9a51edad083fc709325";1;1;9;9;0;0;0;0;2;2;0;0;8;8;3;3;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.98310073938675;0.00980224607711184;0.00709701453613802
"project_10";"2021-03-06 20:03:03";"2021-03-06 20:03:03";1615062123000;1615062123000;6.35;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"913ab193339e7369ec130cb58d54e292274b5c54";0;0;0;0;0;0;0;0;1;1;0;0;2;2;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"c";0.00372829111198449;0.984101431451671;0.0121702774363447
"project_10";"2021-03-06 20:03:49";"2021-03-06 20:03:49";1615062289000;1615062289000;2.7667;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"75465f113c523379d34ee1beaccbe78682f02476";0;0;0;0;0;0;0;0;1;1;0;0;2;1;0;0;0;0;0;0;0.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"c";0.0245497151715058;0.92121684689457;0.0542334379339241
"project_10";"2021-03-20 16:03:33";"2021-03-20 16:03:33";1616258133000;1616258133000;46507.8333;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"41b4c1b804756518ec9ad795100a717dbfa44a55";30;24;35341;34809;0;0;0;0;1;1;0;0;29;16;1;1;0;0;0;0;0.98459;0.80645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.987356649997214;0.00323066437433193;0.00941268562845444
"project_10";"2021-03-20 17:03:50";"2021-03-20 17:03:50";1616261030000;1616261030000;48.2833;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"ee1670e3b1b801484b75117b6ca76cad77bec4a5";1;1;120;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.94167;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.946224975867532;0.0400958616780087;0.0136791624544588
"project_10";"2021-03-20 17:03:38";"2021-03-20 17:03:38";1616261858000;1616261858000;13.8;"Ldb5ebff55939f65";"Ldb5ebff55939f65";0;1;2;"41b4c1b804756518ec9ad795100a717dbfa44a55,6b3c455c122b535dab9921d902079feb8b5d51c3";31;25;35461;34922;0;0;0;0;1;1;0;0;29;16;1;1;0;0;0;0;0.98445;0.8125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.987356649997214;0.00323066437433193;0.00941268562845444
"project_10";"2021-03-21 15:03:53";"2021-03-21 15:03:53";1616342273000;1616342273000;21333.0667;"L3885f280fbe7a83";"L3885f280fbe7a83";0;0;1;"44cf6313f7058cf2f917423798843df4bbf47db8";6;6;358;330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.92179;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.994455304136686;0.00193746498634795;0.00360723087696652
"project_10";"2021-03-21 19:03:18";"2021-03-21 19:03:18";1616355258000;1616355258000;1570.4667;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"6b3c455c122b535dab9921d902079feb8b5d51c3";16;13;843;528;1;1;515;237;8;8;0;0;403;399;19338;19331;0;0;0;0;0.97137;0.88;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;"p";0.187452834047138;0.00172844686477728;0.810818719088084
"project_10";"2021-03-21 19:03:02";"2021-03-21 19:03:02";1616355422000;1616355422000;2.7333;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"f8b9a3a278ca96728c0e2354f021e554fc2665a4";11;10;271;234;0;0;0;0;1;1;1;0;3;3;0;0;0;0;0;0;0.86496;0.84615;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;"a";0.987046049561901;0.00160375423133257;0.0113501962067664
"project_10";"2021-03-21 19:03:06";"2021-03-21 19:03:06";1616356446000;1616356446000;17.0667;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"464309d9db6ae61ea7902bb028000fc62f6049df";2;2;62;56;0;0;0;0;3;3;0;0;24;19;2;2;0;0;0;0;0.875;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;"a";0.930988748880035;0.0653120881071705;0.00369916301279449
"project_10";"2021-03-29 21:03:38";"2021-03-29 21:03:38";1617052418000;1617052418000;11599.5333;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"2ddd52c945c0016412760466947e889bb89c4a1a";10;1;148;36;0;0;0;0;5;5;0;0;141;132;9;9;0;0;0;0;0.59396;0.4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;"a";0.850821857715689;0.133946966060136;0.0152311762241749
"project_10";"2021-03-29 21:03:36";"2021-03-29 21:03:36";1617052596000;1617052596000;2.9667;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"1d6ec56ff4082d49e429b88eb081b609d807d0ed";1;1;22;19;1;1;4;4;5;5;7;5;28;26;60;54;84;81;58;52;0.92188;0.85714;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;"a";0.946377769001776;0.00304319331260561;0.0505790376856183
"project_10";"2021-03-29 21:03:21";"2021-03-29 21:03:21";1617052641000;1617052641000;0.75;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"675bbb8c1590efd3e4242303b4201cabb6f4c39c";0;0;0;0;0;0;0;0;2;2;0;0;17;16;4;4;0;0;0;0;0.95238;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;"a";0.983467630032493;0.00430734856218013;0.0122250214053262
"project_10";"2021-03-29 21:03:46";"2021-03-29 21:03:46";1617052906000;1617052906000;4.4167;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"3db487e22eea953f35ab53738222ec3d7c9935d9";0;0;0;0;0;0;0;0;1;1;0;0;1;1;3;3;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.997788585907313;0.00146339409247053;0.000748020000216708
"project_10";"2021-03-30 18:03:20";"2021-03-30 18:03:20";1617128180000;1617128180000;1254.5667;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"5231600c3df3583a420ae17588d1a94f8c84367c";7;5;62;42;0;0;0;0;11;11;0;0;124;116;91;78;0;0;0;0;0.85199;0.88889;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;"a";0.8887196752024;0.00379680887909472;0.107483515918506
"project_10";"2021-03-30 20:03:30";"2021-03-30 20:03:30";1617137670000;1617137670000;158.1667;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"2c5da3961bb4e1b06e2fd8b1dfab26513f5db905";0;0;0;0;0;0;0;0;1;1;0;0;12;10;3;1;0;0;0;0;0.73333;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;"a";0.723091092284589;0.0566294525137299;0.220279455201682
"project_10";"2021-03-30 21:03:27";"2021-03-30 21:03:27";1617138087000;1617138087000;6.95;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"3c274ade1e1952a29ea3d7a8b90058aed1fde804";0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;"a";0.681064301253118;0.250144772109028;0.0687909266378545
"project_10";"2021-03-30 21:03:46";"2021-03-30 21:03:46";1617138286000;1617138286000;3.3167;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"32a051659779d6022c607514428d9ade5e01dc58";0;0;0;0;0;0;0;0;4;4;0;0;53;50;0;0;0;0;0;0;0.9434;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;"a";0.855524539086486;0.127534407896445;0.0169410530170695
"project_10";"2021-03-30 21:03:32";"2021-03-30 21:03:32";1617138332000;1617138332000;0.7667;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"db9d021326d118e3eed5a8079ae1d3bb87b419d0";0;0;0;0;0;0;0;0;4;4;0;0;30;30;14;12;0;0;0;0;0.95455;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;"a";0.994701526523044;0.00362485270253639;0.00167362077441978
"project_10";"2021-03-30 21:03:51";"2021-03-30 21:03:51";1617138351000;1617138351000;0.3167;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"8c28e5abb8368cd3a4367d09b838c6cfcb379d1b";2;1;95;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0.5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;"a";0.985389513973346;0.00427013140757187;0.0103403546190821
